Database, ID, Level, Product, Moduloe, Status, Synopsis

PR_ET_SCADE,PR-6461,Minor,DISPLAY-IDE,Editor,PR_for_modification,"Insert Nplicator" button appear twice in Creator toolbar 
PR_ET_SCADE,PR-6497,Minor,SCADE Lifecycle,Reporter Display,PR_for_analysis,Some report attributes do not show correctly in Word, Chrome and Firefox 
PR_ET_SCADE,PR-6498,Minor,SCADE Lifecycle,Reporter Display,PR_for_modification,The resource table names do not show correctly in Reporter 
PR_ET_SCADE,PR-6547,Minor,DISPLAY-IDE,Widget Library,PR_integrated,Improve folder organisation for widget lib packaging 
PR_ET_SCADE,PR-6645,Minor,DISPLAY-IDE,CG Integration,PR_entered,Create and store a log file for all target adaptors in the output directory 
PR_ET_SCADE,PR-6653,Minor,DISPLAY-IDE,Editor,PR_for_modification,"Welcome to SCADE Products Help Resources" page is not displayed 
PR_ET_SCADE,PR-6767,Minor,DISPLAY-IDE,Editor,PR_for_modification,Unable to open "Welcome to Esterel SCADE Products" document 
PR_ET_SCADE,PR-6810,Minor,DISPLAY-IDE,User Documentation,PR_for_analysis,Some help PDF files are named with "-65" 
PR_ET_SCADE,PR-6857,Medium,SCADE System,User Documentation,PR_entered,PDF documents and Help topic can not open when installed System alone 
PR_ET_SCADE,PR-6862,Minor,DISPLAY-IDE,CG Integration,PR_for_analysis,[Display - Mobile Genration] Error: not enough memory allocated for mobile application 
PR_ET_SCADE,PR-6865,Medium,DISPLAY-IDE,Editor,PR_entered,object snapshots displays invisible items 
PR_ET_SCADE,PR-6867,Medium,DISPLAY-IDE,User Documentation,PR_entered,Imcomplet User Documentation about "updatespecification" 
PR_ET_SCADE,PR-6869,Medium,DISPLAY-IDE,CG Integration,PR_resolved,UV mapping + texture reference= -1 ==> invisible object 
PR_ET_SCADE,PR-6873,Minor,Rapid Prototyper,User Documentation,PR_for_modification,<Welcome to Esterel Scade Products> not-working link 
PR_ET_SCADE,PR-6886,Medium,DISPLAY-IDE,Editor,PR_resolved,Size of Specification Properties window sometimes seems inadequate with respect to its content 
PR_ET_SCADE,PR-6887,Medium,DISPLAY-IDE,Editor,PR_resolved,Width of Reference Object Properties window is smaller than width of Specification Properties window 
